did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18885351175,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18885351162,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351173,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351291,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351093,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351171,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350916,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350626,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350714,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350757,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350713,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350834,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350623,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351156,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351134,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350763,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351135,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885351256,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885350850,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773661020,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773667940,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773665751,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773669508,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773669501,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773668704,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773667955,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773669503,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773663173,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773669571,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773666671,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773666021,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773666285,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773668719,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773662549,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773667606,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773669509,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773661868,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773663705,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18773664938,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667958716,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667956889,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667954338,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667952468,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667952589,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667956006,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667956644,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667956652,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667954422,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667952563,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667957222,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667955991,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667955273,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667958263,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667956240,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667959038,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667953647,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667951589,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667953746,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18667953846,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
