did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18556361144,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364732,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556362234,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556365204,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364741,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556360530,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364224,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364945,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556360521,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364824,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556363966,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364933,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556367568,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364722,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556360533,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556364227,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556361534,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556368300,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556363272,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18556366532,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444652700,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444653739,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444658653,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444659800,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444658820,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444654300,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444651919,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444654844,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444655800,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
18444656767,Inteliquent_Carrier,1,225,1,12,0,0.03,0,6
