did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18337604141,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18337605222,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18337605825,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18337609529,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18337609554,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445493964,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445494079,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445494098,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445494480,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445497060,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18555125894,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18555126086,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18555126804,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18555127876,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18555128304,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666342033,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666342992,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666347522,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666347678,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666348564,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778587602,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778589091,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778589122,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778589297,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778589335,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18883933462,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18883933981,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18883934231,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18883934963,Inteliquent_Carrier,1,225,1,0,0,0,0,0
