did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18338246386,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18338246437,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18338247427,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18338247725,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18338249040,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18445863170,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18445863185,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18445865445,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18445865680,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18445869933,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18553746651,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18553746768,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18553747256,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18553747432,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18553749232,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18666833195,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18666833504,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18666834144,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18666838203,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18666838775,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18772657584,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18772657915,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18772657921,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18772658543,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18772659212,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18884965817,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18884965872,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18884965893,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18884965908,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
18884966607,Inteliquent_Carrier,,225,1,12,0,0.03,6,6
