did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18338694057,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18338694749,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18338695641,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18338696459,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18338699578,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445634736,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445636125,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445637039,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445637788,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18445638111,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18557506680,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18557506772,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18557507667,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18557508558,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18557509559,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666464102,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666465049,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666465450,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666468458,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18666469763,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778795875,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778796908,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778797354,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778798452,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18778799701,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18884227073,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18884228021,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18884228599,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18884229865,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18884229969,Inteliquent_Carrier,1,225,1,0,0,0,0,0
