did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18336707815,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18336708273,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18336708274,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445490730,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445493137,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445493261,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18556652124,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18556652548,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18556653766,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18668484738,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18668484753,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18668484961,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18668485073,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18773963212,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18773963683,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18773964208,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18773964915,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18885400680,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18885402204,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18885402215,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
