did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18338932347,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18338932461,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18338933305,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18338933549,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445710864,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445711104,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445712338,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18445713073,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18553740513,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18666760064,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18666761218,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18666761295,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18666762104,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18778600096,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18778600129,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18778600560,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18778600677,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18884680297,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18884680517,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18884680864,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18884680923,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
