18332811335,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18332811758,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332811773,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332811818,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332811824,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332811864,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332813233,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332814080,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332816886,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18332818488,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446480700,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446481304,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446481309,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446484422,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446484466,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446485439,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446485550,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446486116,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446489400,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18446489955,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557151004,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557151324,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557151540,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557152435,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557152465,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557152938,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557152981,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557152990,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557156002,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18557159678,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669603538,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669603544,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669603551,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669603561,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669603608,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669609484,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669609794,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669609923,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669609928,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18669609976,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778043933,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778045898,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778047367,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048265,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048394,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048402,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048420,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048461,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048475,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18778048575,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885820910,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885821008,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885821031,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885822935,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885823080,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885823433,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885823457,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885824197,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885825355,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18885826914,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
