did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block,,,
18337432241,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18337432254,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18337432865,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18337439123,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446893380,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446895077,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446895085,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446895122,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446895169,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,s
18446895217,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446895280,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18446895291,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18555881558,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18555882034,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18555883065,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18555883092,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666510721,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666511640,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666511747,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666512608,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666514807,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666516650,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666517706,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666518762,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18666518764,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773340496,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773340802,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773341023,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773341438,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773342060,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773342078,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18773343060,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885245645,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885245906,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885246134,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885246861,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885247416,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885248369,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
18885248650,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6,,,
