did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18338242280,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18338242911,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18445862569,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18445862709,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18445862798,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18553741321,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18553741500,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18553743455,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18666831020,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18666832185,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18666832521,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18772650058,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18772651456,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18772653050,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18884965689,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18884965694,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18884965697,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
